ev_date,avg_events_per_user
20230101,3.4166769610870906
20230102,3.5854794520547943
20230103,4.441681853683937
20230104,5.607158493870402
20230105,3.31520922074668
20230106,3.4547514516357456
20230107,5.03832512315271
20230108,5.0751070823787225
20230109,3.7617405582922823
20230110,3.8461538461538463
20230111,4.236599087145739
20230112,3.4827051642282725
20230113,3.6685890042291427
20230114,5.5939641109298535
20230115,5.395857558139535
20230116,3.4327291739281978
20230117,3.520463727384507
20230118,3.641316433177674
20230119,3.4821766561514194
20230120,3.5105559465165377
20230121,5.830364524614806
20230122,5.563529106702969
20230123,3.7568700512342805
20230124,4.313472762645914
20230125,4.397731259501812
20230126,3.504904197080292
20230127,3.8838862559241707
20230128,6.0953104811127155
20230129,5.6720930232558135
20230130,4.161263086795001
20230131,4.414634146341464
20230201,5.564055636896047
20230202,3.8927302541678053
20230203,4.034365393061045
20230204,7.178703841020317
20230205,5.8975969946240046
20230206,3.9709783117491027
20230207,4.04256189891549
20230208,3.898781530568619
20230209,3.570017431725741
20230210,3.3668244406196215
20230211,6.6684546442151005
20230212,6.290602409638554
20230213,4.349402092675636
20230214,3.3743610995993922
20230215,3.7790153709066607
20230216,4.750081353726
20230217,4.351517341040463
20230218,7.183483019927028
20230219,6.425316292279886
20230220,4.2890276538804635
20230221,2.976385542168675
20230222,3.1064129146919433
20230223,5.466793030546038
20230224,4.725226666666667
20230225,7.165744724441713
20230226,5.8350580781415
20230227,4.161800160728636
20230228,4.568424085278018
20230301,4.6815875081327265
20230302,3.0306642551792176
20230303,4.013065707252414
20230304,7.171119283880369
20230305,5.590894448620208
20230306,4.241442097596504
20230307,3.606869265089654
20230308,3.3898894374521937
20230309,4.963930035986275
20230310,4.159434713375796
20230311,6.720612117426608
20230312,6.4778520168275175
20230313,4.043766904352102
20230314,3.410546929640509
20230315,4.569082450535284
20230316,5.915033769698991
20230317,4.893230212936922
20230318,6.351267901721193
20230319,6.520947877721575
20230320,3.539494762784966
20230321,3.4761182714177408
20230322,3.834419317746263
20230323,4.936594013974346
20230324,5.362976947535771
20230325,4.574457142857143
20230326,5.184114019003167
20230327,5.183722527472527
20230328,4.603045862994515
20230329,3.6356197352587243
20230330,3.509887359198999
20230331,4.146006298310907
20230401,6.332690124858116
20230402,6.1176622704939225
20230403,4.0448657560056525
20230404,4.659753472901585
20230405,4.101071150739034
20230406,3.588564325668117
20230407,3.950719614196368
20230408,6.91123886174188
20230409,5.191867852604829
20230410,4.212962962962963
20230411,3.110297740550433
20230412,3.364681963404008
20230413,4.170463472113118
20230414,4.276709708273553
20230415,7.067944776029421
20230416,5.863413208649912
20230417,3.7837808338790655
20230418,3.5670612064054685
20230419,3.349602122015915
20230420,4.8007068840870755
20230421,4.594628201939816
20230422,6.260446101124271
20230423,6.313875774112454
20230424,3.5614320585842147
20230425,3.7855485866483374
20230426,4.929715250684214
20230427,4.213897131552918
20230428,4.253113983548766
20230429,5.774363863019726
20230430,5.846992879866687
20230501,4.087561164048416
20230502,3.8884524101808657
20230503,5.18921032056294
20230504,4.132993954820235
20230505,3.8714675260287557
20230506,6.347611949970838
20230507,5.470549265237292
20230508,4.770003105268605
20230509,2.145361021146885
20230510,2.2425900916909516
20230511,3.457298219426378
20230512,4.158833877858759
20230513,6.491268410912933
20230514,6.1476909850159664
20230515,3.4194300518134715
20230516,2.8074451410658305
20230517,2.28369384359401
20230518,4.199866030310642
20230519,3.856751199451679
20230520,6.200352987318603
20230521,6.26185128983308
20230522,3.819275802254987
20230523,3.501578083575306
20230524,3.4967154471544717
20230525,3.3077528974907167
20230526,3.5935772964899177
20230527,5.674018256447956
20230528,6.016195310611554
20230529,3.773612463485881
20230530,3.532012513034411
